"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_007","density_x","numeric","140.093933463796","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_007","density_y","numeric","0.000372886076129865","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_008","density_x","numeric","161.109589041096","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_008","density_y","numeric","0.000377958372315675","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_009","density_x","numeric","182.125244618395","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_009","density_y","numeric","0.000379417930513496","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_010","density_x","numeric","203.140900195695","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_010","density_y","numeric","0.00037834163642434","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_011","density_x","numeric","224.156555772994","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_011","density_y","numeric","0.00037566195314636","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_012","density_x","numeric","245.172211350294","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_012","density_y","numeric","0.000372083291903801","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_013","density_x","numeric","266.187866927593","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_013","density_y","numeric","0.000368043243567822","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_014","density_x","numeric","287.203522504892","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_014","density_y","numeric","0.000363761678245965","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_015","density_x","numeric","308.219178082192","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_015","density_y","numeric","0.000359227633486728","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_016","density_x","numeric","329.234833659491","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_016","density_y","numeric","0.000354333735271113","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_017","density_x","numeric","350.250489236791","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_017","density_y","numeric","0.000348956477607183","overall","overall"
